id,text,Open AI Classfier,GPT Zero (perplexity),GPT Zero (burstiness),DetectGPT (z score),GPT Zero,DetectGPT,Label
1371,"Ambracia (; , occasionally , Ampracia) was a city of ancient Greece on the site of modern Arta. It was captured by the Corinthians in 625 BC and was situated about from the Ambracian Gulf, on a bend of the navigable river Arachthos (or Aratthus), in the midst of a fertile wooded plain. History
It was founded between 650 and 625 BC by Gorgus, son of the Corinthian tyrant Cypselus, at which time its economy was based on farmlands, fishing, timber for shipbuilding, and the exportation of the produce of Epirus. After the expulsion of Gorgus's son Periander its government developed into a strong democracy. The early policy of Ambracia was determined by its loyalty to Corinth (for which it probably served as an entrepot in the Epirus trade), and its consequent aversion to Corcyra (as Ambracia participated on the Corinthian side at the Battle of Sybota, which took place in 433 BC between the rebellious Corinthian colony of Corcyra (modern Corfu) and Corinth).",1,88.83333333,84.48056793,0.084889,0,1,0
2995,"Archaeopteryx, sometimes referred to by its German name, """" (lit. 'original bird' or 'first bird'), is a genus of bird-like dinosaurs. The name derives from the ancient Greek (archaīos), meaning ""ancient"", and (ptéryx), meaning ""feather"" or ""wing"". Between the late 19th century and the early 21st century, Archaeopteryx was generally accepted by palaeontologists and popular reference books as the oldest known bird (member of the group Avialae). Older potential avialans have since been identified, including Anchiornis, Xiaotingia, and Aurornis. Archaeopteryx lived in the Late Jurassic around 150� million years ago, in what is now southern Germany, during a time when Europe was an archipelago of islands in a shallow warm tropical sea, much closer to the equator than it is now. Similar in size to a Eurasian magpie, with the largest individuals possibly attaining the size of a raven, the largest species of Archaeopteryx could grow to about in length. Despite their small size, broad wings, and inferred ability to",2,60.875,47.99534988,0.50609,0,0,0
6216,"person can never understand Chinese because they do not have the same language as the Chinese people. The argument is based on the assumption that the Chinese language is a completely different language to any other.

The Chinese room argument has been used in various ways, but it typically refers to the idea that a person cannot understand Chinese because they do not share a common language with the Chinese people. This argument is based on the assumption that the Chinese language is a completely different language to any other.

One example of this argument was used in relation to World War II. During World War II, the Japanese were known for their ability to speak and understand Chinese, which made them an important part of the war effort. However, many American soldiers were unable to speak or understand Japanese, which made it difficult for them to communicate with the Japanese troops. Consequently, the Japanese were able to achieve victory over America in World War II due to their superior understanding of Chinese.

Another example of this argument can be found in relation to translation. Many translators work with languages that are completely different from their own. For example, a translator might work with Spanish speakers, who speak a completely different language to English speakers. As a result, it is often difficult for translators to create accurate translations between languages that are completely different.

In both of these examples, the Chinese room argument is used to suggest that a person cannot understand what is",4,23.615,13.264,1.574,1,1,1
9014,"Developmental psychology is the scientific study of how and why human beings change over the course of their life. Originally concerned with infants and children, the field has expanded to include adolescence, adult development, aging, and the entire lifespan. Developmental psychologists aim to explain how thinking, feeling, and behaviors change throughout life. This field examines change across three major dimensions, which are physical development, cognitive development, and social emotional development. Within these three dimensions are a broad range of topics including motor skills, executive functions, moral understanding, language acquisition, social change, personality, emotional development, self-concept, and identity formation. Developmental psychology examines the influences of nature and nurture on the process of human development, as well as processes of change in context across time. Many researchers are interested in the interactions among personal characteristics, the individual's behavior, and environmental factors. This includes the social context and the built environment. Ongoing debates in regards to developmental psychology include biological essentialism vs. neuroplasticity and stages of development vs. dynamic systems of development.",1,42.66666667,22.83090019,0.321729,0,0,0
12437,"that is caused by a change or mutation in the genes of an individual. These changes can lead to abnormal development or function of a body organ or system. Genetic disorders can be inherited, meaning that they are passed down from parents to their children, or they can occur spontaneously, without any known cause.

There are a variety of different genetic disorders, but they all share some common features. Most genetic disorders are caused by a change or mutation in one or more genes. These changes can cause problems with development or function of a body organ or system.

Many genetic disorders are inherited. This means that they are passed down from parents to their children. Some genetic disorders are caused by mutations that occur spontaneously, without any known cause. Regardless of how they are inherited, all genetic disorders involve problems with development or function of a body organ or system.

There is no one single cause for most genetic disorders. Instead, these problems are usually the result of a combination of genetic and environmental factors. Genetics is the study of genes and their effects on health. Environmental factors include everything that we experience in our daily lives - including our diet, lifestyle, and environment - as well as the habits and exposures we take during our lifetime.

Despite the challenges involved in managing genetic disorders, patients and their families often enjoy excellent outcomes when treatment is successful. Treatment options vary depending on the specific disorder and may include medication, surgery, and/or radiation therapy.",4,34.625,29.341,1.148,1,1,1
14832,"between governments. They are typically multilateral, but some are bilateral. Their scope of work ranges from regional to global in nature, and their purpose is to improve the effectiveness and efficiency of governance by addressing shared issues between governments.

IGOs emerged from the efforts of world leaders at the United Nations General Assembly in 1945 to avoid the recurrence of World War II. The United Nations was founded with the goal of preventing future conflicts, and one way to achieve this was through cooperation between countries. After World War II, many countries felt that they needed a forum in which they could resolve their differences peacefully. The United Nations was created as an international organization with representatives from all nations, but it was not until 1945 that world leaders came together to discuss the idea of creating an organization that would address issues between countries. 

The first IGO was the International Monetary Fund (IMF). The IMF was created with the goal of promoting economic stability around the world. It does this by providing financial assistance to member countries in times of crisis. The IMF is also responsible for monitoring the performance of member countries and helping them to make reforms if needed. 

In 1949, the United Nations established the World Health Organization (WHO). The WHO was created to address global health issues. Its main goal is to prevent and control diseases worldwide. The WHO also helps to promote public health by educating people about health issues and by providing access to",4,147.4,442.051,1.596,1,1,1
16261,"Juliana Hatfield (born July 27, 1967) is an American musician and singer-songwriter from the Boston area, formerly of the indie rock bands Blake Babies, Some Girls, and The Lemonheads. She also fronted her own band, The Juliana Hatfield Three, along with bassist Dean Fisher and drummer Todd Philips, which was active in the mid-1990s and again in the mid-2010s. It was with the Juliana Hatfield Three that she produced her best-charting work, including the critically acclaimed albums Become What You Are (1993) and Whatever, My Love (2015) and the singles ""My Sister"" (1993) and ""Spin the Bottle"" (1994). She has performed and recorded as a solo artist and as one half of Minor Alps with Matthew Caws of Nada Surf. In December 2014, Paste named her cover of the song ""Needle in the Hay"" by Elliott Smith number 10 in a list of the 20 Best Cover Songs of 2014. In 2014, she reformed The Juliana Hatfield Three, announcing the new album Whatever, My Love for 2015. In late December, Stereogum named the album ""one",2,108.8571429,118.3503647,0.039301,0,1,0
19325,"to any entity or concept, including individual beings, objects, and ideas.

Monism is the philosophical position that attributes oneness or singleness to any entity or concept, including individual beings, objects, and ideas. This might be called ""unitary monism"" if it regards a single thing as the source of all existence or ""plural monism"" if it regards multiple things as being essentially equivalent. In both cases, the term ""monism"" is used pejoratively to suggest that the thinker in question poses thinking about entities and concepts in an insufficiently complex way.

The history of the concept of monism is complex and has many different interpretations. One of the earliest recorded mentions of the idea comes from the 6th century BCE philosopher Parmenides, who argued that there is only one thing in the universe, which he named ""the One"". Parmenides's student Zeno of Elea also argued for monism, but in a more sophisticated way that has since been abandoned. Monism was popularised in the 3rd century BCE by Plato, who argued that there is only one kind of thing in the world: Forms. Forms are eternal and unchanging, and",2,44.55555556,33.5526123,1.057187,0,1,1
38881,"[ˈpælermo] or [pæˈlɛːrmo]) is a city in Sicily, Italy, and the capital of the metropolitan area of Palermo. It is the largest city in Sicily, with a population of about 270,000, and is the central city of the Metropolitan City of Palermo, with a population of over 1 million.

Palermo is located in the central-eastern part of the island of Sicily, on the Mediterranean Sea. The city was founded by Phoenicians in 734 BC as Ziz, one of a number of Phoenician settlements in Sicily. The Roman Republic acquired it in 238 BC and renamed it Palermo after its founder, Pallas Athena. The city became an important center of trade and culture under the Byzantine Empire, and later passed through Muslim hands before becoming part of the Kingdom of Sicily in 1071.

Palermo was sacked by Norman mercenaries in 1084 AD and by the Aragonese in 1143 AD. In 1409, King Ladislaus I of Naples gave Palermo to his brother Count Alfonso V of Aragon as part of his dowry.",4,35,19.75565,0.230561,1,1,1
40948,"discipline that deals with the effective management of systems and their components. CM encompasses the activities involved in planning, implementing, monitoring, and maintaining systems.

Configuration management is a systems engineering discipline that deals with the effective management of systems and their components. CM encompasses the activities involved in planning, implementing, monitoring, and maintaining systems. CM helps ensure that the systems are configured to meet the needs of their intended users and are operated effectively. Configuration management provides a framework for integrating changes into a system, tracking changes, and managing risks.

Configuration management is used in a variety of industries, including aviation, banking and finance, defense, electronic commerce, healthcare, and manufacturing. Organizations using configuration management typically have a more successful track record than those who do not. There are several reasons for this: configuration management creates an ordered environment where changes can be tested before they are implemented into production; it facilitates collaboration among team members as changes are made; it provides transparency into the status of a system so that all stakeholders can understand how it works; and it helps prevent errors from creeping into production.

There are several different types of configuration management tools available to organizations. Some of these tools include: 

The goal of configuration management is to provide an ordered environment where changes can be tested before they are implemented into production. This is done by establishing a baseline or reference configuration for a system and tracking all changes to it. Changes can then be tested before they are implemented",4,44.143,25.985,1.551,1,1,1
