id,url,title,wiki_intro,generated_intro,title_len,wiki_intro_len,generated_intro_len,prompt,generated_text,prompt_tokens,generated_text_tokens
63064638,https://en.wikipedia.org/wiki/Sexhow%20railway%20station,Sexhow railway station,"Sexhow railway station was a railway station built to serve the hamlet of Sexhow in North Yorkshire, England. The station was on the North Yorkshire and Cleveland's railway line between  and , which opened in 1857. The line was extended progressively until it met the Whitby & Pickering Railway at . Sexhow station was closed in 1954 to passengers and four years later to goods. The station was located  south of Stockton, and  west of Battersby railway station. History
The station was opened in April 1857, when the line from Picton was opened up as far as . Mapping shows the station to have had three sidings in the goods yard, coal drops and a crane. The main station buildings were on the westbound (Picton direction) side of the station. The station was south of the village that it served, and was actually in the parish of Carlton in Cleveland, which has led to speculation that it was named Sexhow to avoid confusion with  railway station, which was originally named Carlton.","Sexhow railway station was a railway station located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.",3,174,78,"200 word wikipedia style introduction on 'Sexhow railway station'
    Sexhow railway station was a railway station"," located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.",25,88
279621,https://en.wikipedia.org/wiki/Eti%C3%A4inen,Etiäinen,"In Finnish folklore, all places and things, and also human beings, have a haltija (a genius, guardian spirit) of their own.  One such haltija is called etiäinen—an image, doppelgänger, or just an impression that goes ahead of a person, doing things the person in question later does. For example, people waiting at home might hear the door close or even see a shadow or a silhouette, only to realize that no one has yet arrived. Etiäinen can also refer to some kind of a feeling that something is going to happen. Sometimes it could, for example, warn of a bad year coming. In modern Finnish, the term has detached from its shamanistic origins and refers to premonition. Unlike clairvoyance, divination, and similar practices, etiäiset (plural) are spontaneous and can't be induced. Quite the opposite, they may be unwanted and cause anxiety, like ghosts. Etiäiset need not be too dramatic and may concern everyday events, although ones related to e.g. deaths are common. As these phenomena are still reported today, they can be considered a living","In Finnish folklore, all places and things, animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. 

Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.",1,187,80,"200 word wikipedia style introduction on 'Etiäinen'
    In Finnish folklore, all places and things,"," animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. 

Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.",26,101
287229,https://en.wikipedia.org/wiki/Inverse%20function%20theorem,Inverse function theorem,"In mathematics, specifically differential calculus, the inverse function theorem gives a sufficient condition for a function to be invertible in a neighborhood of a point in its domain: namely, that its derivative is continuous and non-zero at the point. The theorem also gives a formula for the derivative of the inverse function.
In multivariable calculus, this theorem can be generalized to any continuously differentiable, vector-valued function whose Jacobian determinant is nonzero at a point in its domain, giving a formula for the Jacobian matrix of the inverse. There are also versions of the inverse function theorem for complex holomorphic functions, for differentiable maps between manifolds, for differentiable functions between Banach spaces, and so forth. Statement
For functions of a single variable, the theorem states that if  is a continuously differentiable function with nonzero derivative at the point ; then  is invertible in a neighborhood of , the inverse is continuously differentiable, and the derivative of the inverse function at  is the reciprocal of the derivative of  at :","In mathematics, specifically differential calculus, the inverse function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.",3,170,59,"200 word wikipedia style introduction on 'Inverse function theorem'
    In mathematics, specifically differential calculus, the inverse"," function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.",26,65
26712375,https://en.wikipedia.org/wiki/Stepping%20on%20Roses,Stepping on Roses,"is a Japanese shōjo manga series written and illustrated by Rinko Ueda. The series began serialization in Margaret magazine in 2007 and completed its run in the March 19, 2012 issue of the same magazine. The individual chapters have been collected into eight tankōbon volumes by Shueisha as of March 2012; the first on April 25, 2008 and the most recent on October 25, 2011. The series has been licensed by Viz Media for an English-language North American release as part of their Shojo Beat imprint. Plot
During the year Meiji 25 (1892,) Sumi Kitamura is penniless and her brother Eisuke, a womanizer and gambler, constantly leaves them in debt while bringing even more orphaned children home to feed. When her adopted sister, Tomi, becomes ill, Sumi finds that no doctors will help her as they are poor and no one is willing to give her money for medicine to save Tomi. Then as Sumi is crying on the road a handsome man gives her a handkerchief and some money, telling her to stop crying as smiles beckon happiness into her life before disappearing. Later a debt collector turns up at Sumi's","is a Japanese shōjo manga series written and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world.

Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...",3,335,121,"200 word wikipedia style introduction on 'Stepping on Roses'
    is a Japanese shōjo manga series written"," and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world.

Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...",26,150
38894426,https://en.wikipedia.org/wiki/Rob%20Bradley,Rob Bradley,"Robert Milner ""Rob"" Bradley, Jr. (born August 24, 1970 in Green Cove Springs, Florida) is a Republican politician from Florida. He served as a member of the Florida Senate, representing parts of North Central Florida from 2012 until he was term-limited in 2020. History
Bradley graduated from the University of Florida with a degree in telecommunications in 1992, and again with a Juris Doctor in 1996. Upon graduating from law school, he worked as an assistant state attorney in the Fourth Judicial Circuit of Florida until 1998, and then worked as a special magistrate for Green Cove Springs. In 2007, Bradley was appointed to the Clay County Commission by then-Governor Charlie Crist following the resignation of previous County Commissioner John E. Thrasher. He was re-elected in 2008 against write-in opposition, winning 96% of the vote. From 2009 to 2012, he served on the St. Johns River State College Board of Trustees, and currently works as the managing partner of Kopelousos, Bradley & Garrison, P.A., a law firm in Orange Park, Florida.","Robert Milner ""Rob"" Bradley, Jr. (born August 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.",2,170,136,"200 word wikipedia style introduction on 'Rob Bradley'
    Robert Milner ""Rob"" Bradley, Jr. (born August"," 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.",28,162
26709147,https://en.wikipedia.org/wiki/Moluccans,Moluccans,"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups indigenous to the Maluku Islands, also called the Moluccas and historically known as the Spice Islands, which as a region has been annexed by Indonesia since the end of 1950. As such, ""Moluccans"" is used as a blanket term for the various ethnic and linguistic groups native to the islands.
	
The original inhabitants of the Maluku Islands were Austronesian and Melanesian in origin. Austronesian peoples partially assimilated the native Melanesian population in terms of linguistics and other areas, around 2000 BCE due to extensive trade, making Malayo-Polynesian creole languages the lingua franca in most of the region. Later added to this were several Dutch, Chinese, Portuguese, Spanish, Arabian and English influences due to colonization, marriage with foreign traders during the Silk-route era and Middle ages, and even with European soldiers during the World Wars. A small number of German descendants was added to Moluccan population, especially in Ambon, along with arrival of Protestant Missionaries since 16th century. Moluccans are predominantly Christian like many other","Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people.

The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population.

The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.",1,253,164,"200 word wikipedia style introduction on 'Moluccans'
    Moluccans are the Austronesian-speaking and Papuan-speaking ethnic"," groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people.

The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population.

The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.",33,238
15169469,https://en.wikipedia.org/wiki/HarperOne,HarperOne,"HarperOne is a publishing imprint of HarperCollins, specializing in books that aim to ""transform, inspire, change lives, and influence cultural discussions."" Under the original name of Harper San Francisco, the imprint was founded in 1977 by 13 employees of the New York City–based Harper & Row, who traveled west to San Francisco to be at the center of the New Age movement. Harper acquired the religious publisher Winston-Seabury from CBS in 1986. Harper San Francisco changed its name to HarperOne in 2006, and expanded its core book categories beyond religion and spirituality to include health and wellness and inspirational non-fiction. Partial bibliography
 The Alchemist by Paulo Coelho (25th anniversary edition 2015)
 The Subtle Art of Not Giving a F*ck by Mark Manson (2016)
 What Is the Bible? by Rob Bell (2017)
 Brave by Rose McGowan (2018)
 Mere Christianity by C.S. Lewis (repackaged edition 2015)
 Search Inside Yourself by Chade-Meng Tan (2012)
 The End of Dieting by Dr. Joel Fuhrman (2015)
 A Return to Love by Marianne Williamson (reissue edition,","HarperOne is a publishing imprint of HarperCollins, specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.",1,217,80,"200 word wikipedia style introduction on 'HarperOne'
    HarperOne is a publishing imprint of HarperCollins,"," specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.",26,103
5723289,https://en.wikipedia.org/wiki/Full%20employment%20theorem,Full employment theorem,"In computer science and mathematics, a full employment theorem is a term used, often humorously, to refer to a theorem which states that no algorithm can optimally perform a particular task done by some class of professionals. The name arises because such a theorem ensures that there is endless scope to keep discovering new techniques to improve the way at least some specific task is done. For example, the full employment theorem for compiler writers states that there is no such thing as a provably perfect size-optimizing compiler, as such a proof for the compiler would have to detect non-terminating computations and reduce them to a one-instruction infinite loop. Thus, the existence of a provably perfect size-optimizing compiler would imply a solution to the halting problem, which cannot exist. This also implies that there may always be a better compiler since the proof that one has the best compiler cannot exist. Therefore, compiler writers will always be able to speculate that they have something to improve. A similar example in practical computer science is the idea of no free lunch in search and optimization, which states that no efficient general-purpose solver can exist, and hence there will always be some particular problem whose best known solution might be","In computer science and mathematics, a full employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.",3,209,134,"200 word wikipedia style introduction on 'Full employment theorem'
    In computer science and mathematics, a full"," employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.",24,153
62862417,https://en.wikipedia.org/wiki/Pussy%20Fairy%20%28OTW%29,Pussy Fairy (OTW),"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy (OTW)"") is a song recorded by American singer Jhené Aiko for her third studio album, Chilombo (2020). Julian-Quán Việt Lê produced the song and co-wrote it with Aiko and Micah Powell. Def Jam released it for digital download and streaming as the album's third single on January 16, 2020. ""Pussy Fairy (OTW)"" is an R&B ballad, featuring an alchemy crystal sound bowl intended to activate the listener's Svadhishthana (the sacral chakra). In the lyrics, Aiko acts as the ""pussy fairy"" and boasts about her sexual performance. The song received generally positive reviews from music critics, who praised its sexual content. They compared the explicit lyrics to 1990s music. ""Pussy Fairy (OTW)"" was Aiko's first solo single to reach the top 40 on the US Billboard Hot 100 and was certified platinum on the Recording Industry Association of America (RIAA) for selling over one million digital units. The song appeared on the UK Singles Chart","""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy"") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.",3,167,130,"200 word wikipedia style introduction on 'Pussy Fairy (OTW)'
    ""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy",""") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.",38,183
62166018,https://en.wikipedia.org/wiki/Qasr%20Ibrahim,Qasr Ibrahim,"Qasr Ibrahim (Ibrahim Palace) is a historical castle and fort that is located in the north of Alqoat neighborhood, Hofuf, Al-Ahsa, Eastern Province, Saudi Arabia. Besides, it is called the dome Palace, AlQoat Palace or Ibrahim Castle. Ibrahim palace is the main architectural heritage from the Ottoman period of Al-Hofuf that was a Turkish military barracks. After that, the palace was taken and seized by King Abdul-Aziz Al Saud in April 13, 1913 (5th of First Jumada 1331 AH). The palace was constructed with a mosque that has a dome in 1555 (963 AH). During the next century, the palace was enlarged into a castle, prison and Turkish bath. In 2019, the Saudi Commission for Tourism and National Heritage has announced that the procedures of renovation of all parts of the palace have finished. This restoration process included rebuilding the fallen parts, painting the buildings and preparing a main square for the tourism activities and festivals.","Qasr Ibrahim (Ibrahim Palace) is a historical palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.",2,156,100,"200 word wikipedia style introduction on 'Qasr Ibrahim'
    Qasr Ibrahim (Ibrahim Palace) is a historical"," palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.",30,112
