ID,Text
931397,"The FM Towns Marty is a fifth-generation home video game console released in 1993 by Fujitsu, exclusively for the Japanese market. It is often claimed to be the first 32-bit CD-based home video game system, although it has a 16-bit data bus, just like the earlier Commodore CDTV and Sega CD, which both have Motorola 68000 processors that are similar internally 16/32-bit, but with a 16-bit data bus. The console came complete with a built in CD-ROM drive and disk drive. It was based on the earlier FM Towns computer system Fujitsu had released in 1989. The Marty was backward-compatible with older FM Towns games. In 1994 a new version of the console called the was released. It featured a darker gray shell and a new lower price (¥66,000 or but was otherwise identical to the first Marty. It is widely believed that the FM Towns Marty 2 would feature similar improvements to the FM Towns 2, which had a swifter CPU than the first, but this was not the case. It has also been speculated that the Marty 2 featured an Intel 486 CPU; however, this was also discovered to be false."
52666398,"Geneviève-Aimé-Zoë Prévost (15 April 1802, Paris – 10 April 1861, Paris) was a French operatic soprano. She created leading roles in some of the most notable French opéras comiques of the first half of the nineteenth century, including ""Fra Diavolo"" by Daniel Auber and ""Le postillon de Lonjumeau"" by Adolphe Adam. Career
Geneviève-Aimé-Zoë Prévost, also known as Zoé Prévost, had a younger brother, Eugene, who was a composer and conductor. Zoé studied singing at the Paris Conservatoire and made her debut at the Opéra-Comique, Paris, in 1821. The Opéra-Comique at that time presented operas light in tone and with spoken dialogue between the musical numbers. She created leading roles in many opéras comiques including the title role in ""La marquise de Brinvilliers"", a collaborative work between nine composers, and in works by Fromental Halévy, Ambroise Thomas, and others. Considered one of the"
4623509,"A secretory protein is any protein, whether it be endocrine or exocrine, which is secreted by a cell. Secretory proteins include many hormones, enzymes, toxins, and antimicrobial peptides.
Secretory proteins are synthesized in the endoplasmic reticulum. Production
The production of a secretory protein starts like any other protein. The mRNA is produced and transported to the cytosol where it interacts with a free cytosolic ribosome. The part that is produced first, the N-terminal, contains a signal sequence consisting of 6 to 12 amino acids with hydrophobic side chains. This sequence is recognised by a cytosolic protein, SRP (Signal Recognition Particle), which stops the translation and aids in the transport of the mRNA-ribosome complex to an SRP receptor found in the membrane of the endoplasmic reticulum. When it arrives at the ER, the signal sequence is transferred to the translocon, a protein-conducting channel in the membrane that allows the newly synthesized polypeptide to be translocated to the ER lumen. The dissociation of SRP from the ribosome restores"
19873089,"The Horrorist was an occult and horror-themed comic book limited series written by Jamie Delano, with art by David Lloyd, published by the DC Comics imprint Vertigo. It was a spin-off of Vertigo's popular Hellblazer series and features the character John Constantine. The book consisted of two 52-page issues without advertisements, published in December 1995 and January 1996 respectively. Plot
The story revolves around Angel, who as a young girl was rescued from war-torn Mozambique, and who witnessed the most unspeakable war crimes and atrocities. As an adult, in the present day, Angel becomes a ""Horrorist"", that is, someone who redistributes pain by unveiling to people the suffering of others. She travels America's roadways, annihilating people's solipsistic existence by exposing them to the unfettered scope of true oppression, famine and murder. Sometimes this takes the form of altered reality, such as several boys playing in the snow dying from landmines that were not there earlier."
10882098,"Colossal is an American indie rock band from Elgin, Illinois, United States, formed in 2001. They have one EP and one full-length, and have appeared on multiple compilations. Their lyrics and musicianship display a depth much like that found in math rock. Band history
Colossal was formed in Elgin, Illinois, in late 2001 by friends Jeff Feucht (bass), Jason Flaks (trumpet, guitar, vocals), Rob Kellenberger (drums, backup vocals), and Pat Ford (vocals, guitar). They began playing shows in spring of 2002 in and around Chicago, Illinois. Asian Man Records released their debut, a self-titled, six-song EP (also known as ""Brave the Elements""), in January 2003. The band’s genre-crossing ways were already evident on the EP, as the songs fuse elements of punk, jazz, and jangly pop with a focused singularity. The sound is intricate and dense but still accessible and unified. The EP received universal critical acclaim and attendance at shows steadily increased. The band's first tour, of eastern Canada and the East Coast, was that summer."
2618881,"is a Japanese 2004 teen comedy film directed and co-written by Shinobu Yaguchi. The plot follows a group of inept high school girls who form a big band. The cast includes Juri Ueno, Yuta Hiraoka, Shihori Kanjiya, Yuika Motokariya and Yukari Toyashima. The film ranked 8th at the Japanese box office in 2004, and won seven prizes at 28th Japan Academy Prize, including ""Most Popular Film"" and ""Newcomer of the Year"" for Yuta Hiraoka and Juri Ueno. Plot 
A class of schoolgirls are bored during their summer make-up class. When the school brass band leaves to perform at a baseball game without their bento lunches, Tomoko and the other girls persuade their math teacher, Mr. Ozawa, to let them deliver the lunches. On the train, the girls fall asleep after eating one of the lunches and miss their stop. They walk back to deliver the lunches to the band, but they have spoiled in the summer heat, and all but their cymbal player, Takuo Nakamura, who missed out on his"
3884335,"Doctor Dream Records is an independent record label founded in 1982 by Dave Hayes that originated from Orange, California. During its time as an independent the company released over 100 records in punk rock, alternative rock, comedy, and heavy metal music. Their more well-known performers are Rich Little, Cadillac Tramps, and Swamp Zombies. The company logo was designed by Josh Agle. Doctor Dream Records was sold to Mercury/PolyGram in 1997. Roster
The Cadillac Tramps
Christy McCool
The Grabbers
D.I.
Manic Hispanic
Aversion
Bitch Funky Sex Machine
SPLNTR
Fifty Lashes
Cisco Poison
Dash Rip Rock
Drance
Paul Kelly and the Messengers
Joyride
Shig & Buzz
The Texas Instruments
Tiny Lights
The Black Watch
Andy Prieboy
Jerry Giddens
Welt
Screaming Bloody Mary's
Swamp Zombies
Don't Mean Maybe
Mosh On Fire Compilation
Zebrahead
The Joneses
Knockout
Human Therapy
Eggplant
Imagining Yellow Suns
Ann Dejarnet
El Grupo Sexo
National People's Gang"
20679766,"The Redspotted Hawkfish (Amblycirrhitus pinos) is a species of marine ray-finned fish, a Hawkfish belonging to the family Cirrhitidae. It is found at depths from on tropical reefs in the Western Atlantic. The Redspotted Hawkfish is also found in the aquarium trade. Taxonomy
The Redpsotted Hawkfish was first formally described as Pseudocirrhites pinos in 1927 by the Bermudan naturalist Louis L. Mowbray with the type locality given as Point Francis on the Isle of Pines in Cuba. In 1829 the French zoologist Georges Cuvier described a species he called Cirrhites fasciatus, giving it a type locality of Puducherry in India. This is now considered to be an error, since the fish described most likely came from the Atlantic Ocean. When Theodore Nicholas Gill described the genus Amblycirrhitus in 1861 he used Cuvier's C. fasciatus as its type species. However, Cuvier's name was preoccupied by Edward Turner Bennett's 1828 usage of the name for a related species, A. pinos is the type"
49188748,"Teliphasa spinosa is a species of moth of the family Pyralidae. It is found in China (Yunnan). The wingspan is 34–38� mm. The forewings are tinged with a pale olive-green luster, the basal area blackish brown, mixed with black and white scales, with two subrounded white spots near the base. The median area is white, with scattered pale brown and blackish brown scales, with dense brown and blackish brown scales from the costa diffused to above the cell, forming a narrow elongate dark streak. The distal area is deep brown, with black scales and the costa has a white spot at outside of the postmedian line, spreading to R5, mixed with pale brown. The antemedian line is black, extending from the costal one-fourth, obliquely inward to the scale tuft near the base, then obliquely outward to one-third on the dorsum. The postmedian line is black, extending from the costal two-thirds slightly oblique outward to R5, then running slightly oblique inward to the dorsal two-thirds, its inner margin more or"
2756344,"Micki Grant (born Minnie Louise Perkins, June 30, 1929 – August 22, 2021) was an American singer (soprano), actress, writer, and composer. She performed in Having Our Say (as Sadie Delaney), Tambourines to Glory and Jericho-Jim Crow both co-written by Langston Hughes, The Gingham Dog, Don't Bother Me, I Can't Cope, and received three Tony Award nominations for her writing. Early life 
Minnie Louise Perkins was born in Chicago, Illinois, to Gussie and Oscar Perkins on June 30, 1929. Some sources also state that she was born in 1941; Grant was said to have lowered her age early for reasons related to her career. Her father was a self-taught pianist and master barber, and her mother worked for Stanley Products. She began studying music with double-bass lessons at her elementary school. Grant first took piano lessons at the age of eight, and the next year took acting lessons with Susan Porché. After high school, her cousin, film actress Jeni Le Gon took her under her wing when Grant moved to Los Angeles. Following graduation from Englewood"
68074518,"Pultenaea costata, commonly known as ribbed bush-pea, is a species of flowering plant in the family Fabaceae and is endemic to the Grampians National Park in Victoria. It is a spreading shrub with egg-shaped to lance-shaped leaves, and dense clusters of pea-like flowers. Description
Pultenaea costata is a spreading shrub that typically grows to a height of up to and has stems that are hairy when young. The leaves are egg-shaped to lance-shaped, long and wide tapering to a sharp, down-curved point and with dark brown stipules about long at the base. The flowers are arranged in dense clusters of five to eight surrounded by bracts about long with two points on the tip. Bracteoles about long are attached to the base of the sepal tube. The sepals are about long and joined at the base, the lobes hairy. The standard petal is wide and the ovary is covered with long hairs. The fruit is a pod surrounded by the remains of the sepals."
33689969,"Gheza or Géza Vida, also known as Grigore (; February 28, 1913 – May 11, 1980), was a Romanian–Hungarian sculptor, engraver, industrial worker and communist militant, one of the most renowned artists of Maramureș region. The descendant of ethnic Romanian and Slovak miners, he was born in the Hungarian segment of Austria-Hungary. Raised by his mother after his father's death in World War I, he received financial support from local benefactors, who cultivated his artistic skill, particularly as a woodcarver. A citizen of Romania after the union of 1918, he was forced to drop out of school by economic circumstances, and worked for years in various industries and businesses, while also discovering his passion for beekeeping and gardening. He was drawn into far-left politics during the Great Depression, when he came to be influenced by radical artists such as Alexandru Ziffer, Aurel Popp, Vasile Kazar and Iosif Klein, who also introduced him to avant-garde experimentation. Vida was co-opted into the Union of Communist Youth and subsequently the Communist Party, producing propaganda art for"
173606,"Suzanne Duchamp-Crotti (20 October 1889 – 11 September 1963) was a French Dadaist painter, collagist, sculptor, and draughtsman. Her work was significant to the development of Paris Dada and modernism and her drawings and collages explore fascinating gender dynamics. Due to the fact that she was a woman in the male prominent Dada movement, she was rarely considered an artist in her own right. She constantly lived in the shadows of her famous older brothers, who were also artists, or she was referred to as ""the wife of."" Her work in painting turns out to be significantly influential to the landscape of Dada in Paris and to the interests of women in Dada. She took a large role as an avant-garde artist, working through a career that spanned five decades, during a turbulent time of great societal change. She used her work to express certain subject matter such as personal concerns about modern society, her role as a modern woman artist, and the effects of the First World War. Her work often weaves painting, collage, and language together in complex ways. Early life and education 
Suzanne was born in"
22378675,"John R. Buchtel (1820–1892) was an American businessman and philanthropist. He founded Buchtel College, which became the University of Akron. Buchtel High School, a public high school in Akron, Ohio, is named in his honor. Buchtel was born on January 18, 1820, in Stark County, Ohio. He began his business interests in agriculture, acquiring a large amount of farmland in Stark County and in the state of Indiana. He then worked for Ball, Aultman, and Company, and led the development of the company's new factory in Akron, which became known as the Buckeye Mower and Reaper Company. When Buckeye Mower became independent, Buchtel served as its first president. He later became the general manager of the Akron Iron Company, and when it merged with several other firms to create the Columbus and Hocking Coal and Iron Company, he served as one of its vice-presidents. He was also an early investor in the rubber company of Dr. Benjamin F. Goodrich. In 1887, a stroke left him unable to work."
173415,"The English suffix -graphy means a ""field of study"" or related to ""writing"" a book, and is an anglicization of the French -graphie inherited from the Latin -graphia, which is a transliterated direct borrowing from Greek. Arts 
Cartography – art and field of making maps
Choreography – art of creating and arranging dances or ballets
Cinematography – art of making lighting and camera choices when recording photographic images for the cinema.
Collagraphy - In printmaking, a fine art technique in which collage materials are used as ink-carrying imagery on a printing plate. 
Pyrography – art of decorating wood or other materials with burn marks.
Iconography – art of interpreting the content by icons.
Klecksography – art of making images from inkblots.
Lithography – planographic printing technique
Photolithography – method for microfabrication in electronics manufacturing.
Pornography – practice, occupation and result of producing sexually arousing imagery or words.
Photography – art, practice or occupation of taking and printing photographs.
Serigraphy – printmaking technique that uses a stencil made of"
1029333,"Carolina Oliphant, Lady Nairne (16 August 1766� – 26 October 1845)� – also known as Carolina Baroness Nairn in the peerage of Scotland and Baroness Keith in that of the United Kingdom� – was a Scottish songwriter.
Many of her songs, such as, ""Will ye no' come back again?"", ""Charlie is my Darling"", ""The Rowan Tree"" and ""Wi' a Hundred Pipers' remain popular today, almost two hundred years after they were written. One of her songs, ""Caller Herrin'"", was sung at the 2021 commemoration of the 1881 Eyemouth disaster. She usually set her words to traditional Scottish folk melodies, but sometimes contributed her own music. Carolina Nairne and her contemporary Robert Burns were influenced by the Jacobite heritage in their establishment of a distinct Scottish identity, through what they both called national song. Perhaps in the belief that her work would not be taken seriously if it were known that she was a woman, Nairne went to considerable lengths to conceal her identity (even from her husband) when submitting her work for publication. Early on she called herself Mrs Bogan of"
4722381,"Des Clarke is a fictional character from the Australian soap opera Neighbours, played by Paul Keane. Des was created by Reg Watson as one of Neighbours' twelve original characters. He made his first on screen appearance on 18 March 1985, the show's first episode. Des departed during the episode broadcast on 11 October 1990. Keane later reprised the role as part of Neighbours 30th anniversary celebrations in March 2015. He also returned for the 35th anniversary on 18 March 2020, and again in August and December 2020. Creation and casting
Des is one of the twelve original characters conceived by the creator and then executive producer of Neighbours, Reg Watson. Actor Stefan Dennis originally auditioned for the role, before he was cast as Paul Robinson. Paul Keane was then cast in the role. Keane suffered with depression and anxiety, and was happy when Channel Seven cancelled the show. He explained ""Neighbours was my first job. I couldn't believe how hard it was. I was exhausted. When it ended at Channel Seven I thought, 'Thank God, I can go home.' But then Ten picked it up. I was devastated."""
5165614,"Rondo Emmett Cameron (February 20, 1925 – January 1, 2001) was an American professor of economic history. He was a native of Texas. He graduated from Yale (1948) and received a Ph.D. degree at the University of Chicago (1952). He taught at the University of Wisconsin, Madison from 1952. In 1969, he went to Emory University where he was Kenan University Professor until his retirement as emeritus professor in 1993. He was president of the International Economic History Association (Sylla, 2001). He is well known for his book A Concise Economic History of the World: From Paleolithic Times to the Present (1989). According to the preface, the book was many years in the maturing, with passages in one chapter from an introductory undergraduate lecture at Yale in 1951. Selected publications 
Jerome Blum, Rondo Cameron, and Thomas G. Barnes. (1970). The European World. Little, Brown.
Rondo Cameron et al. (1975). Civilizations: Western and World.
Rondo E. Cameron. France and the Economic Development of Europe, 1800-1914: Conquests of Peace and Seeds"
31568749,"Kush-Nama, is a Persian epic poem and part of a mythical history of Iran written by Ḥakim Iranshān (or Irānshāh) b. Abu'l-Khayr between the years 501-04/1108-11. Manuscript and background
A critical edition of the poem based on unique manuscript of the work is found in a collection held in the British Museum (OR 2780) and published in a critical edition by Professor Jalal Matini, and in an English translation by Kaveh L Hemmat. The manuscript collection contains five epic poems: Asadi Tusi's Garshasp-nama, Ahmad Tabrizi's � āhanšāh-nāma, Tāriḵ-e Čangiz Ḵān va Jānešinānaš (""The History of Genghis Khan and his Successors"") the Bahman-nama, and the Kush-nama. It originally also contained the Shahnameh, however the Shahnameh portion was separated from the rest of the codex. It is likely that much of the epic was based"
22563317,"The Crimean Bridge , also called the Kerch Strait Bridge, or colloquially the Kerch Bridge, is a pair of Russian-constructed parallel bridges, spanning the Strait of Kerch between the Taman Peninsula of Krasnodar Krai and the Kerch Peninsula of Crimea. The bridge complex provides for both road and rail traffic, and has a length of , making it the longest bridge Russia has ever built, and the longest bridge in Europe. Having been considered since at least 1903, planning for the bridge began in 2014, after the Russian annexation of Crimea. In January 2015, the multibillion-dollar contract for the construction of the bridge was awarded to Arkady Rotenberg's Stroygazmontazh. Construction of the bridge commenced in February 2016; the road bridge was inaugurated by Russian President Vladimir Putin on 15 May 2018 and opened for non-truck cars on 16 May and for trucks on 1 October. The rail bridge was inaugurated on 23 December 2019 and the first scheduled passenger train crossed the bridge on 25 December 2019. The bridge was opened for freight trains on 30 June 2020. A record traffic was recorded on 15 August 2020 and amounted to 36,393 cars."
10226407,"Slađana Đurić (; born 30 June 1964) is a Serbian scientist and university professor. Education
Đurić was born in Pristina, AP Kosovo, SFR Yugoslavia and finished her primary and graduated from secondary school in Pristina. She started her studies of philosophy and sociology at Faculty of Philosophy in Pristina, in the academic year 1982/3 and got her bachelor's degree in the academic year 1984/5. In 1989 she took the postgraduate course ""Philosophy and Social Science"" at Inter-university Center for Postgraduate Studies in Dubrovnik, Yugoslavia, on a grant by Hilda’s College, University of Oxford. She finished her post graduate studies at the University of Belgrade's Law School, in 1993 and got the academic title Master of Humanities by having defended the master’s thesis ""Some Concepts of Social Structure of Yugoslav Society"". She successfully defended the doctoral thesis ""Blood Vengeance in Kosovo and Metohia"" at the University of Belgrade Faculty of Philosophy in 1997, thus acquiring the academic title Doctor of Humanities."
63497004,"is a Japanese tokusatsu television miniseries produced by Tsuburaya Productions, aired in TBS from February 28 to April 29, 1983 on weekdays. The miniseries was made as an adaptation to the popular and magazine and manga publications, hence it became the first tokusatsu in Japan to be available exclusively on home video. The show's name was inspired by one of the protagonists of 1975 Ultra Series manga , Melos, but both he and the title character are entirely unrelated to each other. Synopsis
The is a tribe similar to the Ultras from Nebula M78. In addition to their devotion for peace and justice, they established the Andro Defense Force as their answer to the Inter-Galactic Defense Force. At that moment, the Gua Army started their conquest for universal domination and sent out their Fighting Bems to wreak havoc in multiple planets. To protect the peace of the universe, Melos and the Andro Defense Force rode the to fly in the vast universe."
64570951,"The crash of Alitalia Flight 618 was an accident involving a Douglas DC-7C of the Italian airline Alitalia in Shannon, Ireland, on 26 February 1960. Of the 52 people on board, only 18 survived with serious injuries. Accident
On the morning of 26 February 1960, Flight 618 arrived at its first stopover at Shannon Airport for refueling in order to continue its journey across the Atlantic, while under the supervision of a check pilot. The flight had been given permission to takeoff from runway 05 with a clear but still dark and partially overcast sky just 45 minutes after its initial arrival. Takeoff proceeded without issue and the crew retracted the gear before making a left turn when the aircraft had climbed to a height of with the landing lights still on. While turning, the aircraft's power was reduced slightly but the flaps were never fully retracted. Instead of climbing, the airliner only accelerated and lost altitude very quickly. The pilots were unable to prevent the left wing tip from striking a stone wall near the Clonloghan church followed by the left engines and the rest of the wing which also struck several gravestones of the surrounding cemetery. At this point the aircraft's fate was"
51383158,"Eleanor Vachell (1879–1948) was a Welsh botanist who is remembered especially for her work identifying and studying the flora of Glamorgan and her connection with the National Museum of Wales where she was the first woman to be a member of its Council and Court of Governors. The museum now holds her botanical diary, notes, books, records and specimens. Early life 
She was the eldest child of Winifred and Charles Tanfield Vachell, a physician in Cardiff where she was born in 1879, followed in the 1890s by her brother Eustace and sister Sylvia. She went to school in Cardiff, Malvern, and Brighton. Her father was a keen amateur botanist, and from childhood she went with him on botanical trips across the UK and Ireland as well as in Brittany, Norway and Switzerland. She started keeping a botanical diary when she was twelve and used it throughout her life to record expeditions and finds. Her ambition was to see in situ every plant recognised as a British species and she ticked off her finds by colouring illustrations in a reference book. This eventually led to her building up an almost unrivalled knowledge of UK"
4952270,"Ezra Brainerd (December 17, 1844 – December 8, 1924) was president of Middlebury College, Vermont, United States, from 1885 until 1908. Born in St. Albans, Vermont, Brainerd was a graduate of the college in 1864. Brainerd assumed the presidency at a time when the college was recovering from an extended period of hardship. Brainerd remained president for 23 years, during which time the student body doubled, Starr Library and Warner Hall were constructed, and the college changed from an almost exclusively local college into a more regionally oriented institution. Brainerd was an educator with diverse interests, teaching in almost every subject, from physics to mathematics, to English and rhetoric. He was especially interested in botany; his papers and letters are in several herbaria and libraries throughout New England and the East. Brainerd's diverse talents and interests also informed his educational philosophy. Brainerd focused his efforts on strengthening and broadening the education offered by Middlebury rather than enforcing discipline and religion."
